"A company with this email address already exists","A company with this email address already exists"
"A company with this Tax ID already exists","A company with this Tax ID already exists"
"A company with this Tax/VAT ID already exists","A company with this Tax/VAT ID already exists"
"A customer with email %1 already exists in this website","A customer with email %1 already exists in this website"
"A customer with this email address already exists","A customer with this email address already exists"
Actions,Actions
Active,Active
"Add New Company","Add New Company"
"Add New Company User","Add New Company User"
"Add New User","Add New User"
"An error occurred while loading the user","An error occurred while loading the user"
"An error occurred while processing your request. Please try again.","An error occurred while processing your request. Please try again."
Approved,Approved
"Are you sure you want to delete a company?","Are you sure you want to delete a company?"
"Are you sure you want to delete this user?","Are you sure you want to delete this user?"
Assign,Assign
Back,Back
"By checking this box, you accept our","By checking this box, you accept our"
"Change status for this user?","Change status for this user?"
City,City
Companies,Companies
Company,Company
"Company Address","Company Address"
"Company Administrator","Company Administrator"
"Company Assignment","Company Assignment"
"Company Email","Company Email"
"Company Email cannot be the same as the Company Administrator Email","Company Email cannot be the same as the Company Administrator Email"
"Company has been saved","Company has been saved"
"Company Information","Company Information"
"Company Legal Name","Company Legal Name"
"Company Name","Company Name"
"Company Registration Received","Company Registration Received"
"Company Role","Company Role"
"Company Users","Company Users"
"Company with id ""%1"" does not exist","Company with id ""%1"" does not exist"
"Continue Shopping","Continue Shopping"
"Could not assign customer to company: %1","Could not assign customer to company: %1"
"Could not delete customer account: %1","Could not delete customer account: %1"
"Could not remove customer from company: %1","Could not remove customer from company: %1"
Country,Country
"Create a Company","Create a Company"
"Create a Company Account","Create a Company Account"
"Create an Account","Create an Account"
"Creating a company account to access b2b purchases","Creating a company account to access b2b purchases"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more","Creating an account has many benefits: check out faster, keep more than one address, track orders and more"
Delete,Delete
"Delete Company","Delete Company"
"Delete User","Delete User"
Disable,Disable
Disabled,Disabled
Edit,Edit
"Edit Company","Edit Company"
"Edit Company User","Edit Company User"
"Edit User","Edit User"
Email,Email
Enable,Enable
Enabled,Enabled
"Error deleting user: %1","Error deleting user: %1"
"Error saving user: %1","Error saving user: %1"
"Error sending email: %1","Error sending email: %1"
"Error updating status: %1","Error updating status: %1"
"Error updating user status: %1","Error updating user status: %1"
"First Name","First Name"
ID,ID
Inactive,Inactive
"Invalid form key. Please try again","Invalid form key. Please try again"
"Invalid status value","Invalid status value"
"Last Name","Last Name"
"Manage Companies","Manage Companies"
"Max Amount per Period","Max Amount per Period"
"Max Amount per Purchase","Max Amount per Purchase"
Name,Name
"New Company","New Company"
"New Customers","New Customers"
"No users found for this company","No users found for this company"
"Page not found","Page not found"
Pending,Pending
"Phone Number","Phone Number"
"Please correct the data sent","Please correct the data sent"
"Please enter a valid email address","Please enter a valid email address"
"Please select","Please select"
"Please select a company role","Please select a company role"
"Please select a Company Role","Please select a Company Role"
Rejected,Rejected
"* Required Fields","* Required Fields"
Role,Role
"Role with id ""%1"" does not exist","Role with id ""%1"" does not exist"
"Save Company","Save Company"
"Save User","Save User"
"Select a Role","Select a Role"
"Something went wrong while saving the company","Something went wrong while saving the company"
"State/Province","State/Province"
Status,Status
"Street Address","Street Address"
"Submit Request","Submit Request"
Suspended,Suspended
"Tax ID / VAT","Tax ID / VAT"
"terms and conditions","terms and conditions"
"Thank you for your company registration request","Thank you for your company registration request"
"The Company Email and the Company Administrator Email cannot be the same","The Company Email and the Company Administrator Email cannot be the same"
"The company has been deleted","The company has been deleted"
"The user and customer account have been deleted","The user and customer account have been deleted"
"The user has been %1","The user has been %1"
"The user has been created and notified","The user has been created and notified"
"The user has been updated","The user has been updated"
"This company already has an administrator. Only one administrator is allowed","This company already has an administrator. Only one administrator is allowed"
"This company must have an administrator. You cannot demote the only administrator","This company must have an administrator. You cannot demote the only administrator"
"This customer is already assigned to a company","This customer is already assigned to a company"
"Unassign from Company","Unassign from Company"
"User Information","User Information"
"User not found","User not found"
"User removed from company, but could not delete customer account: %1","User removed from company, but could not delete customer account: %1"
Website,Website
"We have received your application and it is currently under review","We have received your application and it is currently under review"
"You cannot assign the Company Admin role","You cannot assign the Company Admin role"
"You cannot change your own status","You cannot change your own status"
"You cannot delete yourself","You cannot delete yourself"
"You cannot edit your own account permissions","You cannot edit your own account permissions"
"You cannot manage a user who does not belong to your company","You cannot manage a user who does not belong to your company"
"You do not have permission to manage company assignments","You do not have permission to manage company assignments"
"You do not have permission to manage users","You do not have permission to manage users"
"Your account is not enabled or your company has not yet been enabled","Your account is not enabled or your company has not yet been enabled"
"You will receive an email notification once your request has been processed","You will receive an email notification once your request has been processed"
"ZIP/Postal Code","ZIP/Postal Code"
"Allow Frontend Customer Registration","Allow Frontend Customer Registration"
"Comma-separated list of email addresses","Comma-separated list of email addresses"
"Company (B2B)","Company (B2B)"
"Company - New Account No Password Template","Company - New Account No Password Template"
"Company - Status Change Template","Company - Status Change Template"
"Customer Login","Customer Login"
Customers,Customers
"Email Notification","Email Notification"
"Email Template","Email Template"
"Email template for company users created without password","Email template for company users created without password"
"Email template sent to the company email when its status changes","Email template sent to the company email when its status changes"
"Enable New Company Notification","Enable New Company Notification"
"Notification Email Address","Notification Email Address"
"Request a New Company Account","Request a New Company Account"
"Require Approval for Customer","Require Approval for Customer"
"Company Management","Company Management"
